"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"44","I_LPstair",0.553739876564306,0.0281578275853474,0.0917202525367754,"Left","Peripheral","Inverted","009",0.5,-0.5,0.5
"45","I_RNstair",0.306235576224698,0.0279484050841822,0.0924771054424586,"Right","Near","Inverted","009",-0.5,0.5,0.5
"46","I_RFstair",0.465409506643605,0.0310907554613346,0.0942847939772428,"Right","Far","Inverted","009",0,0.5,0.5
"47","I_RPstair",0.566669898723981,0.0327941198206984,0.107861040982611,"Right","Peripheral","Inverted","009",0.5,0.5,0.5
"48","V_LNstair",0.271176087417408,0.0264393908948465,0.087094703284021,"Left","Near","Upright","010",-0.5,-0.5,-0.5
"49","V_LFstair",0.300231845565773,0.0333210049569657,0.100750090557308,"Left","Far","Upright","010",0,-0.5,-0.5
"50","V_LPstair",0.427079511863514,0.0261921254199646,0.0863030673923836,"Left","Peripheral","Upright","010",0.5,-0.5,-0.5
"51","V_RNstair",0.227935544679613,0.0319826490254466,0.101930718871327,"Right","Near","Upright","010",-0.5,0.5,-0.5
"52","V_RFstair",0.235526397682604,0.0482843874192366,0.148237455041023,"Right","Far","Upright","010",0,0.5,-0.5
"53","V_RPstair",0.309866115796365,0.0303553846641227,0.100515368354959,"Right","Peripheral","Upright","010",0.5,0.5,-0.5
"54","I_LNstair",0.37888255236291,0.114075873819232,0.376338141060117,"Left","Near","Inverted","010",-0.5,-0.5,0.5
"55","I_LFstair",0.447799633391597,0.0275279847650434,0.0905539198894058,"Left","Far","Inverted","010",0,-0.5,0.5
"56","I_LPstair",0.52152843319645,0.0266468597929368,0.0879203691686405,"Left","Peripheral","Inverted","010",0.5,-0.5,0.5
"57","I_RNstair",0.423900227566478,0.0261927635721664,0.0868716986829943,"Right","Near","Inverted","010",-0.5,0.5,0.5
"58","I_RFstair",0.714057755539554,0.0263245377593875,0.0873355844384093,"Right","Far","Inverted","010",0,0.5,0.5
"59","I_RPstair",0.514043421533379,0.0255744971072578,0.084517822997506,"Right","Peripheral","Inverted","010",0.5,0.5,0.5
"60","V_LNstair",0.320485397491432,0.0266812003742604,0.0877549469560146,"Left","Near","Upright","011",-0.5,-0.5,-0.5
"61","V_LFstair",0.354209909654019,0.0413855533427201,0.135064426618698,"Left","Far","Upright","011",0,-0.5,-0.5
"62","V_LPstair",0.508964221438413,0.0315210950734036,0.0945574389282875,"Left","Peripheral","Upright","011",0.5,-0.5,-0.5
"63","V_RNstair",0.310230640696799,0.0265088317151269,0.0873254561173631,"Right","Near","Upright","011",-0.5,0.5,-0.5
"64","V_RFstair",0.598743506296337,0.0288109104053295,0.0939072689818556,"Right","Far","Upright","011",0,0.5,-0.5
"65","V_RPstair",0.491670865958844,0.0260049462212404,0.0857715092510946,"Right","Peripheral","Upright","011",0.5,0.5,-0.5
"66","I_LNstair",0.341270762596503,0.0292189468637921,0.0950846062656045,"Left","Near","Inverted","011",-0.5,-0.5,0.5
"67","I_LFstair",0.485285671676842,0.0406293571086999,0.103618156109148,"Left","Far","Inverted","011",0,-0.5,0.5
"68","I_LPstair",0.562275774263197,0.0257071305052533,0.0848033567959866,"Left","Peripheral","Inverted","011",0.5,-0.5,0.5
"69","I_RNstair",0.529484420317042,0.0259067468716643,0.0857161050310767,"Right","Near","Inverted","011",-0.5,0.5,0.5
"70","I_RFstair",0.708302442273067,0.0282858096053804,0.0925693283106094,"Right","Far","Inverted","011",0,0.5,0.5
"71","I_RPstair",0.726044380824283,0.0266564913084701,0.0883453840290473,"Right","Peripheral","Inverted","011",0.5,0.5,0.5
"72","V_LNstair",0.120581349414376,0.0272955690317437,0.0897234359674355,"Left","Near","Upright","012",-0.5,-0.5,-0.5
"73","V_LFstair",0.113785087312258,0.0286046310781854,0.0944651142298638,"Left","Far","Upright","012",0,-0.5,-0.5
"74","V_LPstair",0.303531375416313,0.0289827525720799,0.0947400554201963,"Left","Peripheral","Upright","012",0.5,-0.5,-0.5
"75","V_RNstair",0.211216637629838,0.0273145577990215,0.090262138331825,"Right","Near","Upright","012",-0.5,0.5,-0.5
"76","V_RFstair",0.165278445518796,0.0272017606339553,0.0902667052535117,"Right","Far","Upright","012",0,0.5,-0.5
"77","V_RPstair",0.418483172425785,0.0265575724618285,0.0874504351506237,"Right","Peripheral","Upright","012",0.5,0.5,-0.5
"78","I_LNstair",0.26529227556341,0.0272459220780757,0.0904582177469108,"Left","Near","Inverted","012",-0.5,-0.5,0.5
"79","I_LFstair",0.222848979446794,0.0267996470553159,0.0888016554360433,"Left","Far","Inverted","012",0,-0.5,0.5
"80","I_LPstair",0.489682453423342,0.0546859390939916,0.123195172223029,"Left","Peripheral","Inverted","012",0.5,-0.5,0.5
"81","I_RNstair",0.471175194133289,0.0261119643823051,0.0861482094776232,"Right","Near","Inverted","012",-0.5,0.5,0.5
"82","I_RFstair",0.264411315292632,0.0296189915959601,0.0973888047083021,"Right","Far","Inverted","012",0,0.5,0.5
"83","I_RPstair",0.410700842362197,0.0263089088209444,0.0867368328088019,"Right","Peripheral","Inverted","012",0.5,0.5,0.5
"84","V_LNstair",0.886025580445969,0.0421885886641744,0.12907225884104,"Left","Near","Upright","013",-0.5,-0.5,-0.5
"85","V_LFstair",0.943438264384386,0.0272132625104168,0.0896483329669212,"Left","Far","Upright","013",0,-0.5,-0.5
"86","V_LPstair",0.792265207359294,0.0582743743664423,0.186325929247032,"Left","Peripheral","Upright","013",0.5,-0.5,-0.5
"87","V_RNstair",0.920961326887958,0.0314749298431876,0.100721124853703,"Right","Near","Upright","013",-0.5,0.5,-0.5
"88","V_RFstair",0.836332187968882,0.0448747289895436,0.143866942193241,"Right","Far","Upright","013",0,0.5,-0.5
"89","V_RPstair",0.767425581739082,0.052844581773553,0.1695688607498,"Right","Peripheral","Upright","013",0.5,0.5,-0.5
"90","I_LNstair",0.766584317998785,0.0320287436633184,0.102410633362712,"Left","Near","Inverted","013",-0.5,-0.5,0.5
"91","I_LPstair",0.765604900421216,0.0532711581301857,0.171524856245217,"Left","Peripheral","Inverted","013",0.5,-0.5,0.5
"92","I_RNstair",0.878407438817568,0.0412238842208168,0.12706601110122,"Right","Near","Inverted","013",-0.5,0.5,0.5
"93","I_RFstair",0.673037753536367,0.0580248338278988,0.191374172228358,"Right","Far","Inverted","013",0,0.5,0.5
"94","I_RPstair",0.905847601652298,0.0335285946700609,0.106759989292245,"Right","Peripheral","Inverted","013",0.5,0.5,0.5
"95","V_LNstair",0.342955717635016,0.0293619316085177,0.0954247155984104,"Left","Near","Upright","015",-0.5,-0.5,-0.5
"96","V_LFstair",0.580733449763892,0.032236980549344,0.105131837593627,"Left","Far","Upright","015",0,-0.5,-0.5
"97","V_LPstair",0.508171995455461,0.0437750625699416,0.119037479364808,"Left","Peripheral","Upright","015",0.5,-0.5,-0.5
"98","V_RNstair",0.275405024356609,0.0265473384293618,0.0880519982243219,"Right","Near","Upright","015",-0.5,0.5,-0.5
"99","V_RFstair",0.441138406892887,0.0262670561508143,0.0865547853937208,"Right","Far","Upright","015",0,0.5,-0.5
"100","V_RPstair",0.556322192805297,0.0259974798574599,0.0858631669304519,"Right","Peripheral","Upright","015",0.5,0.5,-0.5
"101","I_LNstair",0.791917935755396,0.026652957680259,0.0880190925458686,"Left","Near","Inverted","015",-0.5,-0.5,0.5
"102","I_LFstair",0.546714223052655,0.0608761376727011,0.143524001783399,"Left","Far","Inverted","015",0,-0.5,0.5
"103","I_LPstair",0.61122173724536,0.0270113997944219,0.0884585114169946,"Left","Peripheral","Inverted","015",0.5,-0.5,0.5
"104","I_RNstair",0.390071202127572,0.0289166725752998,0.0952444149033455,"Right","Near","Inverted","015",-0.5,0.5,0.5
"105","I_RFstair",0.374508316051461,0.0271686705729408,0.090240500970125,"Right","Far","Inverted","015",0,0.5,0.5
"106","I_RPstair",0.617836453523138,0.0260305658033781,0.0859471635495247,"Right","Peripheral","Inverted","015",0.5,0.5,0.5
"107","V_LNstair",0.26428554138325,0.0303993790992318,0.0994239507722769,"Left","Near","Upright","015",-0.5,-0.5,-0.5
"108","V_LFstair",0.270823739186152,0.0266906767151953,0.0879830715341809,"Left","Far","Upright","015",0,-0.5,-0.5
"109","V_LPstair",0.385956578289727,0.0271517589530507,0.089968108304344,"Left","Peripheral","Upright","015",0.5,-0.5,-0.5
"110","V_RNstair",0.20838877084037,0.0270961121066702,0.0889074068073498,"Right","Near","Upright","015",-0.5,0.5,-0.5
"111","V_RFstair",0.226782893336629,0.0423503753651642,0.13960206204282,"Right","Far","Upright","015",0,0.5,-0.5
"112","V_RPstair",0.317741135381027,0.0267188660340327,0.0878085877711557,"Right","Peripheral","Upright","015",0.5,0.5,-0.5
"113","I_LNstair",0.650714988617242,0.0261670673759063,0.0863621269105802,"Left","Near","Inverted","015",-0.5,-0.5,0.5
"114","I_LFstair",0.768308452971503,0.0276041959994696,0.0908626627860534,"Left","Far","Inverted","015",0,-0.5,0.5
"115","I_LPstair",0.717647807815368,0.026102068654289,0.0861146438034622,"Left","Peripheral","Inverted","015",0.5,-0.5,0.5
"116","I_RNstair",0.387551826866754,0.0302255416583519,0.0998407267221559,"Right","Near","Inverted","015",-0.5,0.5,0.5
"117","I_RFstair",0.597095634497648,0.0281163337006559,0.0929389652281259,"Right","Far","Inverted","015",0,0.5,0.5
"118","I_RPstair",0.50897407324033,0.0278619369721319,0.0907355668975458,"Right","Peripheral","Inverted","015",0.5,0.5,0.5
"119","V_LNstair",0.193467385313709,0.0268494617797496,0.0891310635842365,"Left","Near","Upright","016",-0.5,-0.5,-0.5
"120","V_LFstair",0.283759610699829,0.027222358973952,0.0902141245699079,"Left","Far","Upright","016",0,-0.5,-0.5
"121","V_LPstair",0.432516863402293,0.0307439620506532,0.0950330861892223,"Left","Peripheral","Upright","016",0.5,-0.5,-0.5
"122","V_RNstair",0.197467643268468,0.0267065260152865,0.0879220358231066,"Right","Near","Upright","016",-0.5,0.5,-0.5
"123","V_RFstair",0.158183845422607,0.0290570256116403,0.0959761666678311,"Right","Far","Upright","016",0,0.5,-0.5
"124","V_RPstair",0.409370411020183,0.0290637350027223,0.0957086311700009,"Right","Peripheral","Upright","016",0.5,0.5,-0.5
"125","I_LNstair",0.518525502411016,0.0591083360729164,0.129756777979452,"Left","Near","Inverted","016",-0.5,-0.5,0.5
"126","I_LFstair",0.328249843886392,0.0294075133806836,0.0956419002054528,"Left","Far","Inverted","016",0,-0.5,0.5
"127","I_LPstair",0.582782050342789,0.0258607662874437,0.0852951432739772,"Left","Peripheral","Inverted","016",0.5,-0.5,0.5
"128","I_RNstair",0.334794745222559,0.0367712531979063,0.110472339596395,"Right","Near","Inverted","016",-0.5,0.5,0.5
"129","I_RFstair",0.441604746551588,0.0876335947272844,0.286015106872766,"Right","Far","Inverted","016",0,0.5,0.5
"130","I_RPstair",0.509102533813773,0.0612102930125459,0.150052551575233,"Right","Peripheral","Inverted","016",0.5,0.5,0.5
"131","V_LNstair",0.461203880792204,0.0255377727908278,0.0845239543114529,"Left","Near","Upright","016",-0.5,-0.5,-0.5
"132","V_LFstair",0.543018453197179,0.0257872840451483,0.0852001089727699,"Left","Far","Upright","016",0,-0.5,-0.5
"133","V_LPstair",0.727937921725801,0.032111330784286,0.104665206966856,"Left","Peripheral","Upright","016",0.5,-0.5,-0.5
"134","V_RNstair",0.413128844003326,0.0258536543157342,0.0854327847387991,"Right","Near","Upright","016",-0.5,0.5,-0.5
"135","V_RFstair",0.50954907652855,0.0260344593298929,0.0859584274698934,"Right","Far","Upright","016",0,0.5,-0.5
"136","V_RPstair",0.423086623105803,0.0261650679834804,0.0864597674133695,"Right","Peripheral","Upright","016",0.5,0.5,-0.5
"137","I_LNstair",0.696585343460405,0.0264790580145163,0.0876084153779938,"Left","Near","Inverted","016",-0.5,-0.5,0.5
"138","I_LFstair",0.691742012573837,0.0264979522372921,0.0875648653520108,"Left","Far","Inverted","016",0,-0.5,0.5
"139","I_LPstair",0.764718467444016,0.0283125901082968,0.0937096285555347,"Left","Peripheral","Inverted","016",0.5,-0.5,0.5
"140","I_RNstair",0.505932002229544,0.0270697932128273,0.0886988126694776,"Right","Near","Inverted","016",-0.5,0.5,0.5
"141","I_RFstair",0.516814083863492,0.0262669110334971,0.0866881366928559,"Right","Far","Inverted","016",0,0.5,0.5
"142","I_RPstair",0.507218389153855,0.0275927401020004,0.0904052461547005,"Right","Peripheral","Inverted","016",0.5,0.5,0.5
"143","V_LNstair",0.163753566517931,0.027095864219479,0.0899595117909636,"Left","Near","Upright","017",-0.5,-0.5,-0.5
"144","V_LFstair",0.253136953250239,0.0340026578006568,0.107126786989618,"Left","Far","Upright","017",0,-0.5,-0.5
"145","V_LPstair",0.217540092498425,0.0273484413298863,0.0902904409369512,"Left","Peripheral","Upright","017",0.5,-0.5,-0.5
