"","SUBJECT","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","ART","Spelling","VisWM","Native_English_reader","Native_Latin_reader"
"48","012","RPstair",0.627042778113523,0.0233271098325331,0.0769352060554352,"Right","Peripheral",6,66,60,"Y","Y"
"49","014","RNstair",0.192571243242585,0.0229943338449722,0.0759494814924133,"Right","Near",4,76,56,"Y","Y"
"50","014","RPstair",0.436937294041294,0.0607800889885236,0.168783259314002,"Right","Peripheral",4,76,56,"Y","Y"
"51","014","LFstair",0.57656623712945,0.0214977859957295,0.0716213116941402,"Left","Far",4,76,56,"Y","Y"
"52","014","LPstair",0.768943420544864,0.0259326912205591,0.0845889954540762,"Left","Peripheral",4,76,56,"Y","Y"
"53","014","RFstair",0.225071476017036,0.0269402150421279,0.0888647590564996,"Right","Far",4,76,56,"Y","Y"
"54","014","LNstair",0.321020010667261,0.0230251266015239,0.0763887455875395,"Left","Near",4,76,56,"Y","Y"
"55","015","LNstair",0.264181922574107,0.059824830505443,0.189832410668035,"Left","Near",5,78,64,"Y","Y"
"56","015","LFstair",0.198914839649919,0.0237432352511501,0.0789894931084769,"Left","Far",5,78,64,"Y","Y"
"57","015","RPstair",0.486577334277603,0.024865428237908,0.0793186807457182,"Right","Peripheral",5,78,64,"Y","Y"
"58","015","RFstair",0.314907964375662,0.0228172737835594,0.0756928619703173,"Right","Far",5,78,64,"Y","Y"
"59","015","LPstair",0.622355373586347,0.0232368662838424,0.0767884750105193,"Left","Peripheral",5,78,64,"Y","Y"
"60","015","RNstair",0.259922702827842,0.0239244005741194,0.0796695245079536,"Right","Near",5,78,64,"Y","Y"
"61","016","RFstair",0.199396576282192,0.0230473718012017,0.0766491186565658,"Right","Far",20,78,56,"Y","Y"
"62","016","RPstair",0.346586300048695,0.0279414115329687,0.0912397880334875,"Right","Peripheral",20,78,56,"Y","Y"
"63","016","LPstair",0.493154148190258,0.0215475285524474,0.0718692389731383,"Left","Peripheral",20,78,56,"Y","Y"
"64","016","RNstair",0.217510654776043,0.0431968287625694,0.134023743432422,"Right","Near",20,78,56,"Y","Y"
"65","016","LFstair",0.394875236296796,0.0220343319891659,0.0735140481879628,"Left","Far",20,78,56,"Y","Y"
"66","016","LNstair",0.180703332722818,0.024010585746989,0.0799004417331368,"Left","Near",20,78,56,"Y","Y"
"67","017","LNstair",0.189584079431416,0.0232196737205948,0.0772836380441959,"Left","Near",10,73,47,"N","Y"
"68","017","LFstair",0.13699639389753,0.0234413319245684,0.0775958066261568,"Left","Far",10,73,47,"N","Y"
"69","017","LPstair",0.318966604433748,0.0222614208384396,0.0734883855278058,"Left","Peripheral",10,73,47,"N","Y"
"70","017","RNstair",0.137970731434984,0.0253293295761794,0.0838874103813996,"Right","Near",10,73,47,"N","Y"
"71","017","RFstair",0.213875387329812,0.027536299084521,0.0905497985279362,"Right","Far",10,73,47,"N","Y"
"72","017","RPstair",0.119155134429397,0.0394872346697224,0.132361863386264,"Right","Peripheral",10,73,47,"N","Y"
"73","019","LNstair",0.365277200284963,0.0227385410955486,0.0754636193805646,"Left","Near",6,65,31,"Y","Y"
"74","019","LFstair",0.694990356402252,0.0227349913122745,0.0754274755018081,"Left","Far",6,65,31,"Y","Y"
"75","019","LPstair",0.640241042590284,0.0219441895502254,0.0720378532441764,"Left","Peripheral",6,65,31,"Y","Y"
"76","019","RNstair",0.293581777411851,0.0320877196628705,0.0996108976978687,"Right","Near",6,65,31,"Y","Y"
"77","019","RFstair",0.230319831665047,0.0248470691487357,0.0821166521534895,"Right","Far",6,65,31,"Y","Y"
"78","019","RPstair",0.275211359843856,0.0225837467617453,0.0750545423275703,"Right","Peripheral",6,65,31,"Y","Y"
"79","021","LFstair",0.685925473295468,0.0220884868290293,0.0735579580796881,"Left","Far",7,60,43,"Y","Y"
"80","021","RPstair",0.554857660269372,0.0227999429096122,0.0756118058192035,"Right","Peripheral",7,60,43,"Y","Y"
"81","021","LPstair",0.629808104583225,0.021518083988326,0.0703809898089937,"Left","Peripheral",7,60,43,"Y","Y"
"82","021","RNstair",0.449549879163203,0.0243036402115401,0.0806258046925182,"Right","Near",7,60,43,"Y","Y"
"83","021","RFstair",0.273660695833362,0.0284124289732029,0.0927033285515332,"Right","Far",7,60,43,"Y","Y"
"84","021","LNstair",0.563258624525389,0.0216421045365516,0.0722710969394794,"Left","Near",7,60,43,"Y","Y"
"85","022","RPstair",0.696840223133929,0.0232880869458491,0.0770718363192539,"Right","Peripheral",5,63,67,"Y","Y"
"86","022","RNstair",0.829276712851927,0.0246292165626472,0.0819904852011504,"Right","Near",5,63,67,"Y","Y"
"87","022","LNstair",0.452714768468341,0.0219097725500974,0.0729486679584513,"Left","Near",5,63,67,"Y","Y"
"88","022","LFstair",0.425585353837445,0.0221774178236624,0.0738950300613751,"Left","Far",5,63,67,"Y","Y"
"89","022","RFstair",0.730346316863726,0.0283381286042035,0.0933375437137576,"Right","Far",5,63,67,"Y","Y"
"90","022","LPstair",0.610641898396602,0.0216595210895551,0.0713364692511684,"Left","Peripheral",5,63,67,"Y","Y"
"91","025","RNstair",0.330344112057889,0.0245480532056643,0.0817299529153879,"Right","Near",4,63,28,"Y","Y"
"92","025","LNstair",0.710998197901526,0.0219904771476678,0.0726320824247962,"Left","Near",4,63,28,"Y","Y"
"93","025","RPstair",0.658062477381004,0.021728557441569,0.071670888509721,"Right","Peripheral",4,63,28,"Y","Y"
"94","025","LFstair",0.695294942762291,0.0218737426579887,0.0729923165860964,"Left","Far",4,63,28,"Y","Y"
"95","025","LPstair",0.769481543925273,0.0224252201922958,0.0741473580291346,"Left","Peripheral",4,63,28,"Y","Y"
"96","025","RFstair",0.465405493217154,0.0251835018174315,0.0804947558132643,"Right","Far",4,63,28,"Y","Y"
"97","027","LNstair",0.575115975349829,0.0216743874195651,0.0724010507564478,"Left","Near",15,73,43,"Y","Y"
"98","027","RFstair",0.534858413365003,0.0220134105038651,0.0734344450892463,"Right","Far",15,73,43,"Y","Y"
"99","027","LFstair",0.681161201970701,0.024868561340749,0.0825694477434668,"Left","Far",15,73,43,"Y","Y"
"100","027","LPstair",0.66559674788261,0.0218803417068896,0.0730009710720976,"Left","Peripheral",15,73,43,"Y","Y"
"101","027","RNstair",0.328981722798565,0.0223523899663118,0.0738445975364024,"Right","Near",15,73,43,"Y","Y"
"102","027","RPstair",0.563955626288497,0.024480298306245,0.0807475705188261,"Right","Peripheral",15,73,43,"Y","Y"
"103","029","LNstair",0.170803437245476,0.0230871249831266,0.0766511585902989,"Left","Near",8,72,40,"Y","Y"
"104","029","LFstair",0.476426779349821,0.0218452096645935,0.0727804446636077,"Left","Far",8,72,40,"Y","Y"
"105","029","RFstair",0.668086792602613,0.0220769552290384,0.0729013076929989,"Right","Far",8,72,40,"Y","Y"
"106","029","RPstair",0.599149549180508,0.0217625943935482,0.0712725394753158,"Right","Peripheral",8,72,40,"Y","Y"
"107","029","LPstair",0.486234924247106,0.0214357604428987,0.0715505646719639,"Left","Peripheral",8,72,40,"Y","Y"
"108","029","RNstair",0.386273112563603,0.0275182612559087,0.0914138771231815,"Right","Near",8,72,40,"Y","Y"
"109","030","LPstair",0.324194677125043,0.0238760926369951,0.0781656040380888,"Left","Peripheral",9,59,45,"Y","Y"
"110","030","RNstair",0.282577305215297,0.0225690320118795,0.0747707785847518,"Right","Near",9,59,45,"Y","Y"
"111","030","LNstair",0.212408913464561,0.0229817842453761,0.0758404118692369,"Left","Near",9,59,45,"Y","Y"
"112","030","LFstair",0.263550247266734,0.0226333133407077,0.0751644200534443,"Left","Far",9,59,45,"Y","Y"
"113","030","RFstair",0.303101087288399,0.0338136277883346,0.104703910823859,"Right","Far",9,59,45,"Y","Y"
"114","030","RPstair",0.328463008732364,0.0239722599301057,0.0798880887729972,"Right","Peripheral",9,59,45,"Y","Y"
"115","032","LFstair",0.184388165766112,0.0245705797376317,0.0803087211241382,"Left","Far",14,69,56,"Y","Y"
"116","032","RFstair",0.584587461857779,0.0219548642919866,0.0732718162353748,"Right","Far",14,69,56,"Y","Y"
"117","032","LNstair",0.282018513644734,0.0228118255015871,0.0752647128287412,"Left","Near",14,69,56,"Y","Y"
"118","032","LPstair",0.416573893213001,0.0242453817899611,0.0796047836424568,"Left","Peripheral",14,69,56,"Y","Y"
