"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"44","G_RFstair",0.690555022780205,0.0270664479961692,0.0886623956072341,"Right","Far","Gabor","017",0,0.5,0.5
"45","G_RPstair",0.353529910475607,0.0264154014859579,0.087529963891991,"Right","Peripheral","Gabor","017",0.5,0.5,0.5
"46","L_LNstair",0.394890139529512,0.12453233792665,0.406839785716372,"Left","Near","Upright","018",-0.5,-0.5,-0.5
"47","L_LFstair",0.642629948248147,0.0256543522104262,0.0846553348559752,"Left","Far","Upright","018",0,-0.5,-0.5
"48","L_RNstair",0.429617503006843,0.031821461030685,0.0981756111053049,"Right","Near","Upright","018",-0.5,0.5,-0.5
"49","L_RFstair",0.419900398509372,0.0408482228650262,0.118482644524934,"Right","Far","Upright","018",0,0.5,-0.5
"50","L_RPstair",0.414347458839223,0.0262691797723834,0.0871330853933792,"Right","Peripheral","Upright","018",0.5,0.5,-0.5
"51","G_LNstair",0.763005057753369,0.0274029319340146,0.0906572314685687,"Left","Near","Gabor","018",-0.5,-0.5,0.5
"52","G_LFstair",0.823156361557224,0.0272534908788437,0.090473817036596,"Left","Far","Gabor","018",0,-0.5,0.5
"53","G_LPstair",0.695956385346029,0.0276476889961416,0.0913912491535521,"Left","Peripheral","Gabor","018",0.5,-0.5,0.5
"54","G_RNstair",0.508614443299558,0.0262723650836978,0.0866487360973529,"Right","Near","Gabor","018",-0.5,0.5,0.5
"55","G_RFstair",0.607564100101115,0.0258294575657866,0.0853402154629653,"Right","Far","Gabor","018",0,0.5,0.5
"56","G_RPstair",0.686495333026593,0.0366878863149441,0.118297545762208,"Right","Peripheral","Gabor","018",0.5,0.5,0.5
"57","L_LNstair",0.270666765109598,0.0300910901307675,0.0994318941828032,"Left","Near","Upright","020",-0.5,-0.5,-0.5
"58","L_LFstair",0.64845669635929,0.0266598884456321,0.0875703282620857,"Left","Far","Upright","020",0,-0.5,-0.5
"59","L_LPstair",0.576426759653389,0.0288920764872659,0.0948583259384475,"Left","Peripheral","Upright","020",0.5,-0.5,-0.5
"60","L_RNstair",0.431952984483555,0.0260540232303451,0.0858787678885011,"Right","Near","Upright","020",-0.5,0.5,-0.5
"61","L_RFstair",0.583905356243691,0.0259698272261392,0.0859586274239433,"Right","Far","Upright","020",0,0.5,-0.5
"62","L_RPstair",0.364694365970506,0.0283931285123178,0.0939908947056039,"Right","Peripheral","Upright","020",0.5,0.5,-0.5
"63","G_LNstair",0.599762858786942,0.0258343487678197,0.0855027878975662,"Left","Near","Gabor","020",-0.5,-0.5,0.5
"64","G_LFstair",0.751815178336734,0.0260760416586516,0.0859564342172324,"Left","Far","Gabor","020",0,-0.5,0.5
"65","G_LPstair",0.829867082183186,0.0283073608146205,0.0928733866779815,"Left","Peripheral","Gabor","020",0.5,-0.5,0.5
"66","G_RNstair",0.589100281896889,0.0257139250360256,0.0851857408245197,"Right","Near","Gabor","020",-0.5,0.5,0.5
"67","G_RFstair",0.594026824308233,0.0256815981236926,0.0849400479081915,"Right","Far","Gabor","020",0,0.5,0.5
"68","G_RPstair",0.882682217469476,0.0265846097776767,0.0881755902194648,"Right","Peripheral","Gabor","020",0.5,0.5,0.5
"69","L_LNstair",0.182269240204324,0.0278869446238523,0.0921627946375707,"Left","Near","Upright","022",-0.5,-0.5,-0.5
